CLIENT_ID,CLIENT_NAME,CLIENT_LASTNAME,EMAIL,STORE_ID,STORE_NAME,LOCATION,PRODUCT_ID,PRODUCT_NAME,CATEGORY,BRAND,ADDRESS_ID,STREET,CITY,STATE,ZIP_CODE,TRANSACTION_ID,QUANTITY_OF_ITEMS_SOLD,UNIT_PRICE,DISCOUNT
34,Client_34,Lastname_34,client_34.lastname_34@example.com,109,Store_109,Location_109,204,Product_204,Electronics,Brand_204,305,Street_305,City_305,State_305,73202,1108,5,51.25802624347151,0.17
7,Client_7,Lastname_7,client_7.lastname_7@example.com,103,Store_103,Location_103,201,Product_201,Electronics,Brand_201,302,Street_302,City_302,State_302,76878,1004,9,63.98496116665393,0.25
46,Client_46,Lastname_46,client_46.lastname_46@example.com,108,Store_108,Location_108,205,Product_205,Electronics,Brand_205,308,Street_308,City_308,State_308,65936,1185,8,74.11397747519975,0.28
10,Client_10,Lastname_10,client_10.lastname_10@example.com,101,Store_101,Location_101,210,Product_210,Fashion,Brand_210,305,Street_305,City_305,State_305,34624,1008,9,69.33530969054641,0.01
2,Client_2,Lastname_2,client_2.lastname_2@example.com,104,Store_104,Location_104,206,Product_206,Home,Brand_206,306,Street_306,City_306,State_306,47351,1004,4,70.50422045193415,0.11
36,Client_36,Lastname_36,client_36.lastname_36@example.com,106,Store_106,Location_106,205,Product_205,Home,Brand_205,308,Street_308,City_308,State_308,32300,1198,7,81.94574614530444,0.23
6,Client_6,Lastname_6,client_6.lastname_6@example.com,101,Store_101,Location_101,208,Product_208,Fashion,Brand_208,306,Street_306,City_306,State_306,46358,1150,9,55.63834469909261,0.28
9,Client_9,Lastname_9,client_9.lastname_9@example.com,108,Store_108,Location_108,209,Product_209,Home,Brand_209,309,Street_309,City_309,State_309,76727,1145,3,61.49454708875293,0.13
14,Client_14,Lastname_14,client_14.lastname_14@example.com,108,Store_108,Location_108,210,Product_210,Home,Brand_210,305,Street_305,City_305,State_305,71332,1190,2,55.97347520536564,0.19
44,Client_44,Lastname_44,client_44.lastname_44@example.com,105,Store_105,Location_105,205,Product_205,Home,Brand_205,303,Street_303,City_303,State_303,52845,1200,10,20.82215576626674,0.05
46,Client_46,Lastname_46,client_46.lastname_46@example.com,105,Store_105,Location_105,203,Product_203,Electronics,Brand_203,302,Street_302,City_302,State_302,59133,1026,5,93.080505703292,0.08
26,Client_26,Lastname_26,client_26.lastname_26@example.com,106,,Location_106,203,,Fashion,Brand_203,306,Street_306,City_306,State_306,36803,1049,4,40.61032660310873,0.22
39,Client_39,Lastname_39,client_39.lastname_39@example.com,103,Store_103,Location_103,203,Product_203,Home,Brand_203,309,Street_309,City_309,State_309,25190,1157,2,62.49762360923609,0.05
22,Client_22,Lastname_22,client_22.lastname_22@example.com,103,Store_103,Location_103,203,Product_203,Electronics,Brand_203,301,Street_301,City_301,State_301,41250,1188,2,26.542424494708133,0.14
